ለንኡሳት	ለ+ንኡ+ሳት
ለንኡስ	ለ+ንኡስ
ለዐይን	ለ+ዐይን
ለዘመጽአ	ለዘ+መጽአ
ልሳነቲከ	ልሳ+ነቲከ
ልሳኑ	ልሳ+ኑ
ልሳኒክን	ልሳ+ኒክን
ልሳናቲሁ	ልሳ+ናቲሁ
ልሳናቲሃ	ልሳ+ናቲሃ
ልሳናቲሆሙ	ልሳ+ናቲሆሙ
ልሳናቲሆን	ልሳ+ናቲሆን
ልሳናቲነ	ልሳ+ናቲነ
ልሳናቲክሙ	ልሳ+ናቲክሙ
ልሳናቲክን	ልሳ+ናቲክን
ልሳናት	ልሳ+ናት
ልሳናትኪ	ልሳ+ናትኪ
ልሳንነ	ልሳን+ነ
ልሳንከ	ልሳን+ከ
ልሳንኪ	ልሳን+ኪ
ልሳንክን	ልሳን+ክን
ልሳንየ	ልሳን+የ
ልሳኖሙ	ልሳ+ኖሙ
ልሳኖን	ልሳ+ኖን
መጻአከ	መ+ጻአከ
መጽአት	መጽአ+ት
ሰማያዊ	ሰማ+ያዊ
ሰማያዊት	ሰማ+ያዊት
ሰማያውያን	ሰማ+ያውያን
በላዕነ	በ+ላዕነ
በላዕከ	በ+ላዕከ
በላዕኩ	በ+ላዕኩ
በላዕኪ	በ+ላዕኪ
በላዕክሙ	በ+ላዕክሙ
በልዐት	በልዐ+ት
በልዑ	በል+ዑ
በአዕይንተ	በአዕ+ይን+ተ
በአዕይንት	በአዕ+ይን+ት
ትመጽእ	ት+መጽእ
ኃይሉሂ	ኃይ+ሉሂ
ኃይልነ	ኃይል+ነ
ኃይልከ	ኃይል+ከ
ኃይልኪ	ኃይል+ኪ
ኃይልክሙ	ኃይል+ክሙ
ኃይልክን	ኃይል+ክን
ኃይልየ	ኃይል+የ
ኃይሎሙ	ኃይ+ሎሙ
ኃይሎን	ኃይ+ሎን
ነፀረት	ነ+ፀረት
ነፀርነ	ነ+ፀርነ
ነፀርከ	ነ+ፀርከ
ነፀርኩ	ነ+ፀርኩ
ነፀርኪ	ነ+ፀርኪ
ነፀርክሙ	ነ+ፀርክሙ
ነፀርክን	ነ+ፀርክን
ነፂረነ	ነ+ፂረነ
