ከየቤቱና	ከ_እየ_ቤት_ኡ_እና
የደጎቹን	የ_ደግ_ኦች_ኡ_ን
የነጋችን	የ_ነገ_አችን
እንደዚያም	እንደ_እዚያ_ም
ለስብራታችን	ለ_ስብር_አት_አችን
በሰውነቶቻችን	በ_ሰው_ነት_ኦች_አችን
የአበበ	የ_አበበ
ማሩን	ማሩ_ን
ጥቁሮቹ	ጥቁር_ኦች_ኡ
ሰማያዊ	ሰማይ_አዊ
በፍጥነት	በ_ፍጥን_ኧት
ስለዚህም	ስለ_እዚህ_ም
ከሌሎች	ከ_ሌላ_ኦች
ለስብራታችን	ለ_ስ-ብ-ር_አት_አችን
በፍጥነት	በ_ፍ-ጥ-ን_ኧት
ይሞታል	ይ_ም-ው-ት_አል
ለኑሮ	ለ_ን-ው-ር_ኦ
በቤቶች	በ_ቤት_ኦች
የደጎቹ	የ_ደግ_ኦች_ኡ
በዓል	በዓል-
የበዓሉን	የ-በዓል-ኡን
የበዓሉ	የ-በዓል-ኡ
የበዓል	የ-በዓል-
የበዓላቸው	የ-በዓል-ኣቸው
ስለኃጢአታችን	ስለ-ኃጢአት-ኣችን
ኃጢአታችን	ኃጢአት-ኣችን
በኃጢአታችን	በ-ኃጢአት-ኣችን
በኃጢአታችሁ	በ-ኃጢአት-ኣችሁ
አደረሳችሁ	አ-ደረሰ-ኣችሁ
አደረሰን	አ-ደረሰ-ን
አደረሳቸው	አ-ደረሰ-ኣቸው
የምታከብሩ	የምታ-ከበ-እረ-ኡ
ኣከበረ	ኣ-ከበረ
ኣከበሩ	ኣ-ከበረ-ኡ
ወንድም	ወንድም-
ወንድሞች	ወንድም-ኦች
በመረዳትና	በ-መረዳት-ና
አባቶች	አባት-ኦች
አባቶቻችን	አባት-ኦቻችን
አባቶቻችሁ	አባት-ኣቻችሁ
እንሆናለን	እን-ሆነ-ኣለን
ትሆናላችሁ	ት-ሆነ-ኣላችሁ
የሆነውንም	የ-ሆነ-ውንም
ወርሶአል	ወረ-እሰ-ኦአል
ተወልዶአል	ተ-ወለ-እደ-ኦአል
በተገለጸው	በተ-ገለጸ-ው
እንደተገለጸው	እንደተ-ገለጸ-ው
እንደገለጹት	እንደ-ገለጸ-ኡት
በኃጢአት	በ-ኃጢአት
ሲወርስ	ሲ-ወረ-እስ-እ
ሁላችን	ሁሉ-ኣችን
ሁላችሁም	ሁሉ-ኣችሁም
ሞቱ	ሞት-ኡ
መሞት	መ-ሞት
የሞቱ	የ-ሞት-ኡ
ከሞቱ	ከ-ሞት-ኡ
በሞቱ	በ-ሞት-ኡ
በሞቱም	በ-ሞት-ኡም
የሞትን	የ-ሞት-ን
በሞቱንም	በ-ሞት-ኡንም
የሚሞተውና	የሚ-ሞተ-ውና
ከሚሞተው	ከሚ-ሞተ-ው
የማይሞተውንና	የማይ-ሞተ-ውንና
ከሚሞተውና	ከሚ-ሞተ-ውና
እንደምንሞት	እንደምን-ሞት
እንደዚሁም	እንደዚህ-ኡም
ከቀዳማዊ	ከ-ቀዳሚ-ኣዊ
ባገኘው	ባ-ኣገኘ-ው
ለይቅርታው	ለ-ይቅርታ-ው
በይቅርታው	በ-ይቅርታ-ው
እንደይቅርታው	እንደ-ይቅርታ-ው
ከይቅርታ	ከ-ይቅርታ
ይቅርታቸው	ይቅርታ-ቸው
ይቅርታውን	ይቅርታ-ውን
ወስዶ	ወስ-እደ-ኦ
