እምንእስነ	እም-ንእሰ-እነ
እምንእስየ	እም-ንእሰ-እየ
እምንእስክሙ	እም-ንእሰ-እክሙ
እምንእስክን	እም-ንእሰ-እክን
እምንእሶሙ	እም-ንእሰ-ኦሙ
እምንእሶን	እም-ንእሰ-ኦን
ወእምንእስከ	ወእ-ንእሰ-እከ
ወእምንእስኪ	ወእ-ንእሰ-እኪ
ወእምንእስነ	ወእ-ንእሰ-እነ
ወእምንእስየ	ወእ-ንእሰ-እየ
ወእምንእስክሙ	ወእ-ንእሰ-እክሙ
ሐዘን	ሐዘን-
ሐዘኖሙ	ሐዘን-ኦሙ
ሐዘኖን	ሐዘን-ኦን
ሐዘንከ	ሐዘን-ከ
ሐዘንኪ	ሐዘን-እኪ
እሳት	እሳት-
ወበእሳት	ወበ-እሳት
ዘእሳት	ዘ-እሳት
በእሳት	በእሳት
ወበእሳት	ወበ-እሳት
እሳትኒ	እሳት-ኒ
ዘበእሳት	ዘበ-እሳት
ለእሳት	ለ-እሳት
ዘእሳት	ዘ-እሳት
በእሳተ	በ-እሳት-አ
ዘበእሳታ	ዘበ-እሳት-ኣ
ወእሳቱ	ወ-እሳት-ኡ
ዐጸወ	ዐጸወ-
ወዐጸወ	ወ-ዐጸወ-
ዘዐጸወ	ዘዐጸወ
በላዕክን	በል-ኣ-ዐ-እክን
ወበላዕክን	ወ-በል-ኣ-ዐ-እክን
ዘበላዕክን	ዘ-በል-ኣ-ዐ-እክን
በልዕዎ	በልዐ-እዎ
ወበልዕዎ	ወበልዐ-እዎ
ዘበልዕዎ	ዘበልዐ-እዎ
በልዖ	በልዐ-ኦ
ወበልዖ	ወበልዐ-ኦ
ዘበልዖ	ዘ-በልዐ-ኦ
በልዐቶ	በልዐ-ቶ
ወበልዐቶ	ወ-በልዐ-ቶ
ዘበልዐቶ	ዘ-በልዐ-ቶ
ወበላዕነ	ወ-በል-ኣ-ዐ-እነ
ሰፍሐት	ሰፍሐ-ት
ሰፍሐክሙ	ሰፍሐ-ክሙ
ኢሰፋሕክሙ	ኢ-ሰፍሐ-ክሙ
ሰፍሐክን	ሰፍሐ-ክን
ሰፋሕነ	ሰፍ-ኣ-ሐ-እነ
ሰፋሕኩ	ሰፍ-ኣ-ሐ-እኩ
ሰፋሕከ	ሰፍ-ኣ-ሐ-እከ
ሰፋሕኪ	ሰፍ-ኣ-ሐ-እኪ
ሰፊሖሙ	ሰፍ-ኢ-ሐ-ኦሙ
ሰፊሖን	ሰፍ-ኢ-ሐ-ኦን
ሰፊሖ	ሰፍ-ኢ-ሐ-ኦ
ሰፊሓ	ሰፍ-ኢ-ሐ-ኣ
ስፍሒ	ሰ-እ-ፍሐ-ኢ
ሐዘንነ	ሐዘን-ነ
ሐዘና	ሐዘን-ና
ሐዘኑ	ሐዘን-ኡ
ሐዘንክሙ	ሐዘን-ክሙ
ሐዘንክን	ሐዘን-ነ
ወሐዘኖሙ	ወ-ሐዘን-ኦሙ
ወሐዘኖን	ወ-ሐዘን-ኦን
ወሐዘንከ	ወ-ሐዘን-ከ
ወሐዘንኪ	ወ-ሐዘን-ኪ
ወሐዘንነ	ወ-ሐዘን-ነ
ወሐዘና	ወ-ሐዘን-ኣ
ወሐዘኑ	ወ-ሐዘን-ኡ
ወሐዘንክሙ	ወ-ሐዘን-ክሙ
ወሐዘንክን	ወ-ሐዘን-ክን
እምሐዘን	እም-ሐዘን
ለሐዘን	ለ-ሐዘን
ወየሐዝን	ወየ-ሐዘ-አ-ን
ወየሐዝኑ	ወየ-ሐዘ-እ-ን-ኡ
ወየሐዝና	ወየ-ሐዘ-እ-ን-ኣ
ወየሐዝነከ	ወየ-ሐዘ-እ-ን-አከ
ወየሐዝነኪ	ወየ-ሐዘ-እ-ን-አኪ
ወየሐዝነክሙ	ወየ-ሐዘ-እ-ን-አክሙ
ወየሐዝነክን	ወየ-ሐዘ-እ-ን-አክን
ወየሐዝኖሙ	ወየ-ሐዘ-እ-ን-ኦሙ
ወተሐዝን	ወተ-ሐዘ-እ-ን
ሐዘን	ሐዘን
ሐዘኖሙ	ሐዘን-ኦሙ
ሐዘንከ	ሐዘን-ከ
ሐዘንኪ	ሐዘን-ኪ
ሐዘና	ሐዘን-ኣ
ሐዘኑ	ሐዘን-ኡ
ሐዘንክሙ	ሐዘን-ክሙ
ሐዘንክን	ሐዘን-ክን
ወሐዘኖሙ	ወ-ሐዘን-ኦሙ
ወሐዘነ	ወ-ሐዘን-አ
ወሐዘንከ	ወ-ሐዘን-ከ
ወሐዘንኪ	ወ-ሐዘን-ኪ
ወሐዚነከ	ወ-ሐዘ-ኢ-ን-አከ
ወሐዘና	ወ-ሐዘን-ኣ
ወሐዘኑ	ወ-ሐዘን-ኡ
ወሐዘንክሙ	ወ-ሐዘን-ክሙ
ወሐዘንክን	ወ-ሐዘን-ክን
እምሐዘን	እም-ሐዘን
ለሐዘን	ለ-ሐዘን
ከመ	ከመ
ከማየ	ከመ-ኣየ
ከማከ	ከመ-ኣከ
ከማኪ	ከመ-ኣኪ
